Winner,wins_r,losses_r,draws_r,height_cm_r,weight_in_kg_r,reach_in_cm_r,stance_r,significant_strikes_landed_per_minute_r,significant_striking_accuracy_r,significant_strikes_absorbed_per_minute_r,significant_strike_defence_r,average_takedowns_landed_per_15_minutes_r,takedown_accuracy_r,takedown_defense_r,average_submissions_attempted_per_15_minutes_r,wins_b,losses_b,draws_b,height_cm_b,weight_in_kg_b,reach_in_cm_b,stance_b,significant_strikes_landed_per_minute_b,significant_striking_accuracy_b,significant_strikes_absorbed_per_minute_b,significant_strike_defence_b,average_takedowns_landed_per_15_minutes_b,takedown_accuracy_b,takedown_defense_b,average_submissions_attempted_per_15_minutes_b
0,30,9,0,185.42,83.91,190.5,Orthodox,4.33,38.0,2.71,65.0,1.05,43.0,63.0,0.3,26,2,0,180.34,83.91,193.04,Orthodox,3.78,53.0,1.4,72.0,4.16,74.0,83.0,1.1
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,13,5,0,162.56,61.23,160.02,Orthodox,1.52,52.0,1.93,48.0,3.89,50.0,46.0,1.0
1,20,4,0,182.88,77.11,193.04,Switch,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1,14,6,1,182.88,77.11,182.88,Orthodox,2.42,42.0,3.73,59.0,1.2,38.0,75.0,0.4
1,16,3,0,162.56,61.23,162.56,Orthodox,3.93,47.0,3.15,60.0,2.07,34.0,83.0,0.2,23,10,0,162.56,56.7,165.1,Southpaw,1.83,29.0,3.04,55.0,5.15,42.0,47.0,0.6
Draw,22,3,0,180.34,106.59,182.88,Orthodox,4.25,52.0,2.92,54.0,1.83,44.0,80.0,0.4,27,1,0,193.04,112.49,213.36,Orthodox,4.29,57.0,2.22,64.0,1.93,45.0,95.0,0.5
0,24,9,1,193.04,104.78,195.58,Orthodox,3.59,52.0,2.64,55.0,1.75,31.0,31.0,1.2,47,19,0,193.04,120.2,203.2,Orthodox,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8
0,31,8,0,170.18,61.23,177.8,Orthodox,3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,25,7,0,180.34,65.77,175.26,Orthodox,7.17,47.0,4.75,59.0,0.27,53.0,84.0,0.3
1,20,4,0,193.04,108.86,203.2,Orthodox,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,21,9,0,193.04,107.95,195.58,Orthodox,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1
1,23,11,1,167.64,61.23,172.72,Orthodox,3.77,40.0,2.82,65.0,2.29,31.0,65.0,0.3,16,4,0,180.34,65.77,180.34,Orthodox,4.63,46.0,4.07,51.0,0.73,28.0,59.0,0.7
1,27,3,1,160.02,56.7,167.64,Orthodox,3.43,54.0,1.66,67.0,3.35,56.0,65.0,0.5,23,10,0,162.56,56.7,165.1,Southpaw,1.83,29.0,3.04,55.0,5.15,42.0,47.0,0.6
